pipeline,metric,dropped_year,is_treatment_year,tau_loo,se_loo,p_loo,ci_lo,ci_hi,delta_pct,note
raw,SOS,2017,False,15.889,19.874,0.424,-23.063,54.841,3.9,ok
raw,SOS,2018,False,-0.011,10.02,0.9991,-19.651,19.628,-100.1,ok
raw,SOS,2019,True,15.533,17.664,0.3792,-19.088,50.155,1.6,ok
raw,SOS,2020,True,5.4,15.783,0.7323,-25.535,36.335,-64.7,ok
raw,SOS,2021,True,24.933,20.452,0.2228,-15.152,65.019,63.1,ok
raw,SOS,2022,False,33.289,18.751,0.0758,-3.462,70.04,117.7,ok
raw,SOS,2023,False,18.989,20.387,0.3516,-20.969,58.946,24.2,ok
raw,SOS,2024,False,8.289,19.731,0.6744,-30.382,46.96,-45.8,ok
raw,POS,2017,False,-2.417,3.361,0.4722,-9.005,4.172,32.6,ok
raw,POS,2018,False,-3.017,3.288,0.3588,-9.46,3.427,15.9,ok
raw,POS,2019,True,-7.72,2.63,0.0033,-12.875,-2.565,-115.2,ok
raw,POS,2020,True,-1.52,3.895,0.6963,-9.153,6.113,57.6,ok
raw,POS,2021,True,-1.52,3.895,0.6963,-9.153,6.113,57.6,ok
raw,POS,2022,False,-5.517,3.288,0.0933,-11.96,0.927,-53.8,ok
raw,POS,2023,False,-3.017,3.288,0.3588,-9.46,3.427,15.9,ok
raw,POS,2024,False,-3.967,4.087,0.3317,-11.976,4.043,-10.6,ok
raw,EOS,2017,False,-0.0,0.0,0.2849,-0.0,0.0,,ok
raw,EOS,2018,False,-0.0,0.0,0.5577,-0.0,0.0,,ok
raw,EOS,2019,True,0.0,0.0,0.9513,-0.0,0.0,,ok
raw,EOS,2020,True,0.0,0.0,0.7174,-0.0,0.0,,ok
raw,EOS,2021,True,-0.0,0.0,0.5033,-0.0,0.0,,ok
raw,EOS,2022,False,0.0,0.0,0.2097,-0.0,0.0,,ok
raw,EOS,2023,False,0.0,0.0,0.2097,-0.0,0.0,,ok
raw,EOS,2024,False,0.0,0.0,0.3419,-0.0,0.0,,ok
corrected,SOS,2017,False,15.889,19.874,0.424,-23.063,54.841,3.9,ok
corrected,SOS,2018,False,-0.011,10.02,0.9991,-19.651,19.628,-100.1,ok
corrected,SOS,2019,True,15.533,17.664,0.3792,-19.088,50.155,1.6,ok
corrected,SOS,2020,True,5.4,15.783,0.7323,-25.535,36.335,-64.7,ok
corrected,SOS,2021,True,24.933,20.452,0.2228,-15.152,65.019,63.1,ok
corrected,SOS,2022,False,33.289,18.751,0.0758,-3.462,70.04,117.7,ok
corrected,SOS,2023,False,18.989,20.387,0.3516,-20.969,58.946,24.2,ok
corrected,SOS,2024,False,8.289,19.731,0.6744,-30.382,46.96,-45.8,ok
corrected,POS,2017,False,-2.417,3.361,0.4722,-9.005,4.172,32.6,ok
corrected,POS,2018,False,-3.017,3.288,0.3588,-9.46,3.427,15.9,ok
corrected,POS,2019,True,-7.72,2.63,0.0033,-12.875,-2.565,-115.2,ok
corrected,POS,2020,True,-1.52,3.895,0.6963,-9.153,6.113,57.6,ok
corrected,POS,2021,True,-1.52,3.895,0.6963,-9.153,6.113,57.6,ok
corrected,POS,2022,False,-5.517,3.288,0.0933,-11.96,0.927,-53.8,ok
corrected,POS,2023,False,-3.017,3.288,0.3588,-9.46,3.427,15.9,ok
corrected,POS,2024,False,-3.967,4.087,0.3317,-11.976,4.043,-10.6,ok
corrected,EOS,2017,False,-0.0,0.0,0.2849,-0.0,0.0,,ok
corrected,EOS,2018,False,-0.0,0.0,0.5577,-0.0,0.0,,ok
corrected,EOS,2019,True,0.0,0.0,0.9513,-0.0,0.0,,ok
corrected,EOS,2020,True,0.0,0.0,0.7174,-0.0,0.0,,ok
corrected,EOS,2021,True,-0.0,0.0,0.5033,-0.0,0.0,,ok
corrected,EOS,2022,False,0.0,0.0,0.2097,-0.0,0.0,,ok
corrected,EOS,2023,False,0.0,0.0,0.2097,-0.0,0.0,,ok
corrected,EOS,2024,False,0.0,0.0,0.3419,-0.0,0.0,,ok
