label_id,class_proposed,class_id,cyclone,event_date,source,district,lon,lat
0.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.8972218778581,20.403839290084548
1.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.89021501864197,20.390364560822754
2.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.87674028938017,19.850027917424864
3.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.53987205783535,19.725521419045897
4.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.9408800006663,19.909855715347224
5.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.7560067151945,19.928989830898967
6.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,86.75448415349335,20.52322539134403
7.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.7597796393878,19.918749036660007
8.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.74711339388172,20.421625932710114
9.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.84224498246998,20.529693261389692
10.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.86757747348216,19.91389813412576
11.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.913122058387,20.03490120289666
12.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.35931068572732,19.631198314213346
13.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.74926935056361,20.422164921880587
14.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.49244101083384,19.720401021926417
15.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.57463685933078,19.945429000598356
16.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.58110472937643,19.948123946450714
17.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.9077321666823,19.948123946450714
18.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.52963126359639,19.940308603478876
19.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.87970472981776,19.84760246615774
20.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.5980828882463,19.867275570879958
21.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.77514083074625,20.45827719630219
22.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.89614389951716,20.405995246766434
23.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.88401664318154,20.41030716013021
